id,text,created_at,retweet_count,favorite_count,source,length,user_id,user_screen_name,user_name,user_created_at,user_description,user_followers_count,user_friends_count,user_location,user_statuses_count,user_verified,user_url
1223218012813234177,Pizzagate: Hillary Clinton- Spanish https://t.co/ziPz2nv5GM https://t.co/ESq6FG2fGV,2020-01-31 12:14:35,0,0,WordPress.com,83,793661047676821504,jerseydeanne,jerseydeanne,2016-11-02 03:48:34,"Trump 2020- This is a speculation site, anons send opinions and links. #MAGA, #KAG, #PATRIOT Q Q+.  You have the right to criticize your representative.",4069,5006,"Florida, USA",37901,False,https://t.co/Q8HOk32my6
1223199378267131904,"@RepAdamSchiff So, Hillary Clinton's pizzagate  e-mails from her government server was acceptable behavior?  Why? B… https://t.co/8exyNdIAg0",2020-01-31 11:00:32,0,0,Twitter Web App,140,798649651914272773,heirwchrist,Rebecca Barnett,2016-11-15 22:11:30,,10,115,"Wichita, KS",44,False,
1223012774822830080,@PreetBharara @AlanDersh This is like saying Hillary Clinton should testify at the trial of the Pizzagate shooter t… https://t.co/GDttU5LzOK,2020-01-30 22:39:02,0,0,Twitter Web App,140,253384750,RTKash,RTKash,2011-02-17 03:53:10,,114,374,"Los Angeles, CA",7055,False,
1222870833707847685,@Unknowable1961 @sdr_medco OMG ...... you have heard of Pizzagate?  Spygate?  That Hillary Clinton eats babies and… https://t.co/EPUGP6ox22,2020-01-30 13:15:01,0,0,Twitter for iPhone,139,25629024,kimmeruwp,Kimmy Griswold 🌊🌊💙🌊🌊,2009-03-21 03:02:18,Aspiring FEARLESS GIRL and FIERCE WARRIOR for good!! ~ 🌊 VOTE BLUE!! No matter who!! 🌊 🛑IN A RELATIONSHIP NO DM’S 🛑,3183,3950,Minneapolis,17499,False,https://t.co/Btm9aVOTCj
1222832117966671872,"-Fine.  Subpoena a slew of witnesses, including Hillary Clinton, her server, the pizza parlor from Pizzagate, Bengh… https://t.co/wBZgR1cV2G",2020-01-30 10:41:10,0,1,Twitter for Android,140,91656434,asthehosptuRNs,"❤the nurse is in❤MSN, RN #RESIST",2009-11-21 21:22:55,"mom, nurse, MSN, reborn 🏃🏼, activist, feminist, atheist, liberal, martini maven, rabid tweeter, she/her/hers.
💪🏼Less patriarchy, more cupcakes. 🎂",8816,8209,Misery (Missouri) ,172006,False,
1222346793486311424,"Podesta was named on  DNC Committee with other Clinton loyalists and Hillary is thinking of running in 2020, so let… https://t.co/ldwOfHjhL8",2020-01-29 02:32:40,1,1,Twitter Web App,140,16188111,conniesmiles,FACSA Foundation,2008-09-08 17:55:48,Delivering Hope to a hurting world. Child sexual assault and human trafficking prevention,4119,4314,"Cuba, MO",51904,False,https://t.co/fNvu1azL7a
1222311072587304960,@MsMsVicki @________banana_ @Education4Libs You can have a look at this article by an Italian journalist https://t.co/dtudRH5Gwd,2020-01-29 00:10:43,0,2,Twitter for Android,128,1017112352158863365,ashtroman_,ashtroman,2018-07-11 18:24:16,"[https://t.co/uyOnW6qCHN]
[https://t.co/EYp61PaAh7]              
[https://t.co/g0G9MFfzb2]
--
'I just came to chase the blues away'
(rt not always endorsement)",45,88,on the bayou,3421,False,
1222310017606381569,"Hillary Clinton Says She Feels ‘The Urge’ To Beat Trump - The Daily Caller. If she wasn’t such a poor loser, she co… https://t.co/mZ3t1oZO70",2020-01-29 00:06:32,0,0,Twitter for iPhone,140,24315287,sbpetsaver,timelymedusa,2009-03-14 02:55:35,Born and raised in California! Grand Daughter of immigrants. Sweden/ Ukraine . Mom of three kids and a wonderful Husband that I adore.,269,523,"Rancho Palos Verdes, CA",2828,False,
1222281497115287553,@terrylou_d @SenTedCruz Don't forget to squeeze #Hillary #Clinton and #Pizzagate in there somewhere.,2020-01-28 22:13:12,0,19,Twitter Web App,100,2335772198,Mark_Soundman,Embarrassed (#NOTABOT) American 🌊🇺🇲 #IVapeIVote,2014-02-09 23:05:09,"#HolyNunes. #AntiOrangeLeague. #IVapeIVote. 
#ILeftFacebook. Have you?",69,264,USA,2198,False,
1222195160412573700,How else might they have immediately attacked Hillary? Recall how weird “Pizzagate” seemed at the time? Children as… https://t.co/wMNfJgBOrW,2020-01-28 16:30:08,101,358,Twitter Web App,140,16912124,ericgarland,Eric Garland,2008-10-22 20:19:50,Strategic forecaster for corporations and governments. Consultant. Author. Keynote speaker. Patriot building a More Perfect Future.,206838,1678,USA,91602,True,https://t.co/JvuqJnsIdV
