id,text,created_at,retweet_count,favorite_count,source,length,user_id,user_screen_name,user_name,user_created_at,user_description,user_followers_count,user_friends_count,user_location,user_statuses_count,user_verified,user_url
1.22364938214417E+018,Awesome piece by Carmen Hom at @iExaminer about Seattle South Asians rallying to #RejectCAA &amp; speak out against hum… https://t.co/tADpcMKSrQ,2020-02-01 16:48:41,5,5,Twitter for Android,144,40173272,deepasivarajan,Deepa Sivarajan,2009-05-15 04:13:45,"Seattleite, desi, queer, fannish, unironic ABBA lover. Member of @SeattleLGBTQ Commission & Parks District Oversight Committee. (she/her, opinions my own)",251,534,"Seattle, WA",1341,False,https://t.co/qI0goMAmCk
1.22363306722877E+018,@mkatju Hijab signifies being. Muslim Do you think Muslim women will care going to the protest a citizen amendment… https://t.co/hEZHOOYUSm,2020-02-01 15:43:51,0,0,Twitter for Android,139,1.2077371353291E+018,fzn_abdullah,Abdullah FZN,2019-12-19 18:59:15,"I'M ABDULLAH FZN INDIAN MUSLIM 🇮🇳🇮🇳🇮🇳
🏝️ انما المؤمنون اخوة🏝️",9,112,,70,False,
1.22363220889784E+018,"- If it's an Indian state - be like Kerala, not UP

- If you're a CM - be like Pinarayi not Yogi

- If you're a cit… https://t.co/2bAy1Qd8zH",2020-02-01 15:40:27,36,104,Twitter for Android,140,7.14661353718477E+017,IndianPrism,Chirpy Says,2016-03-29 03:51:59,My two cents. Free thinker. Happy Soul. Politics. Culture. Lit. Animals. Love nuance. Despise bigotry and extremisms. Humanity & Rationality over Ideology,11535,799,"Here, There, Somewhere",47486,False,
1.2236110719125E+018,@NishaPurushoth2 @RahulGandhi @manoramanews Its Congress govt who first introduced Citizen Amendment Act on 1955 in… https://t.co/wPL63VM4eE,2020-02-01 14:16:27,0,0,Twitter for Android,140,2363750539,ManumaneeshK,Manu Mohanan,2014-02-27 06:31:24,Aham Brahmasmi,33,206,Kerala,1361,False,
1.22355846992547E+018,@MumbAgainstCAB @konkonas @ThePeopleOfIN @JACMaharashtra @ResistCAA @FahadTISS @India_Resists @sushant_says First u… https://t.co/Nktdq3CbwO,2020-02-01 10:47:26,0,0,Twitter for Android,140,9.0630808386492E+017,swachhachembur,Swachha Chembur 🇮🇳,2017-09-09 00:07:40,"स्वदेशी उत्पादों को खरीदें।
आयुर्वेद को बढ़ावा दें।
मेक इन इंडिया।
वन्दे मातरम !!!

देश पेहेले !!! 🇮🇳

Initiated #CleanChembur",169,573,"मुंबई, भारत",5324,False,https://t.co/zHF647KIlo
1.22355829513211E+018,@MumbAgainstCAB @ThePeopleOfIN @konkonas @JACMaharashtra @ResistCAA @FahadTISS @sushant_says @NrcProtest… https://t.co/0gdaqe9MUL,2020-02-01 10:46:44,0,0,Twitter for Android,129,9.0630808386492E+017,swachhachembur,Swachha Chembur 🇮🇳,2017-09-09 00:07:40,"स्वदेशी उत्पादों को खरीदें।
आयुर्वेद को बढ़ावा दें।
मेक इन इंडिया।
वन्दे मातरम !!!

देश पेहेले !!! 🇮🇳

Initiated #CleanChembur",169,573,"मुंबई, भारत",5324,False,https://t.co/zHF647KIlo
1.22355816971402E+018,@MumbAgainstCAB @CAANRCProtests @NrcProtest @India_Resists @kana @konkonas @ThePeopleOfIN @JACMaharashtra… https://t.co/DrjbhPMhzU,2020-02-01 10:46:14,0,0,Twitter for Android,130,9.0630808386492E+017,swachhachembur,Swachha Chembur 🇮🇳,2017-09-09 00:07:40,"स्वदेशी उत्पादों को खरीदें।
आयुर्वेद को बढ़ावा दें।
मेक इन इंडिया।
वन्दे मातरम !!!

देश पेहेले !!! 🇮🇳

Initiated #CleanChembur",169,573,"मुंबई, भारत",5324,False,https://t.co/zHF647KIlo
1.22355099886761E+018,Indian Americans come together in Seattle Bellevue to protest Indian Citizen Amendment Act https://t.co/P9HnnZKALW… https://t.co/ZtWvIGRCAP,2020-02-01 10:17:45,7,7,Twitter Web Client,139,1.15321546349877E+018,AsianMuslims,South Asian Muslims Overseas,2019-07-22 08:09:26,Coalition of all South Asian Muslims,127,17,,752,False,
1.22346030869961E+018,No Indian citizen including Muslims will lose their citizenship due to Citizenship Amendment Act (CAA). Misundersta… https://t.co/B3WKGlqTqK,2020-02-01 04:17:23,0,2,Twitter Web App,140,97949384,In_Blogger,IndianBlogger,2009-12-19 18:08:11,"IT Professional, BTech, MBA, Writer, Published Poet, Blogger, Book Lover, History Buff, Nationalist, NaMo Bhakt, Loved Father, Hated Husband",829,117,New Delhi,7780,False,https://t.co/JwjDEma1sg
1.22345715017919E+018,My 2nd Amendment stance.... if you got em... shoot em. The 2nd Amendment was to protect the citizen from the govern… https://t.co/3WXO168BeY,2020-02-01 04:04:49,1,1,Instagram,140,1.22089875321904E+018,caseygraytx11,Casey Gray,2020-01-25 02:38:49,"Congressional Candidate for the TX CD-11
Retired Special Operator",7,35,,5,False,
